W00-1401 "Evaluation Metrics for Generation"
W10-4213 "Complex Lexico-syntactic Reformulation of Sentences Using Typed Dependency Representations"
W10-4214 "Towards an Extrinsic Evaluation of Referring Expressions in Situated Dialogs"
W10-4215 "Harvesting Re-usable High-level Rules for Expository Dialogue Generation"
W10-4216 "Feature Selection for Fluency Ranking"
W10-4217 "Extracting Parallel Fragments from Comparable Corpora for Data-to-text Generation"
W10-4218 "Generating Natural Language Descriptions of Z Test Cases"
W10-4219 "Applying Semantic Frame Theory to Automate Natural Language Template Generation From Ontology Statements"
W10-4220 "'If you've heard it, you can say it' - Towards an Account of Expressibility"
W10-4221 "Cross-linguistic Attribute Selection for REG: Comparing Dutch and English"
W10-4222 "Grouping Axioms for More Coherent Ontology Descriptions"
W10-4223 "Paraphrase Generation as Monolingual Translation: Data and Evaluation"
W10-4224 "Anchor-Progression in Spatially Situated Discourse: a Production Experiment"
W10-4225 "Generation Challenges 2010 Preface"
W10-4226 "The GREC Challenges 2010: Overview and Evaluation Results"
W10-4227 "Named Entity Generation Using Sampling-based Structured Prediction"
W10-4228 "Poly-co: An Unsupervised Co-reference Detection System"
W10-4229 "JU_CSE_GREC10: Named Entity Generation at GREC 2010"
W10-4230 "The UMUS System for Named Entity Generation at GREC 2010"
W10-4231 "UDel: Refining a Method of Named Entity Generation"
W10-4232 "UDel: Named Entity Recognition and Reference Regeneration from Surface Text"
W10-4233 "Report on the Second NLG Challenge on Generating Instructions in Virtual Environments (GIVE-2)"
W10-4234 "The First Question Generation Shared Task Evaluation Challenge"
W10-4235 "Generation Under Uncertainty"
W10-4236 "Helping Our Own: Text Massaging for Computational Linguistics as a New Shared Task"
W10-4237 "Finding Common Ground: Towards a Surface Realisation Shared Task"
W11-0201 "Not all links are equal: Exploiting Dependency Types for the Extraction of Protein-Protein Interactions from Text"
W11-0202 "Unsupervised Entailment Detection between Dependency Graph Fragments"
W11-0203 "Learning Phenotype Mapping for Integrating Large Genetic Data"
W11-0204 "EVEX: A PubMed-Scale Resource for Homology-Based Generalization of Text Mining Predictions"
W11-0205 "Fast and simple semantic class assignment for biomedical text"
W11-0206 "The Role of Information Extraction in the Design of a Document Triage Application for Biocuration"
W11-0207 "Medical Entity Recognition: A Comparaison of Semantic and Statistical Methods"
W11-0208 "Automatic Acquisition of Huge Training Data for Bio-Medical Named Entity Recognition"
W11-0209 "Building frame-based corpus on the basis of ontological domain knowledge"
W11-0210 "Building a Coreference-Annotated Corpus from the Domain of Biochemistry"
W11-0211 "Towards Morphologically Annotated Corpus of Hospital Discharge Reports in Polish"
W11-0212 "In Search of Protein Locations"
W11-0213 "Automatic extraction of data deposition statements: where do the research results go?"
W11-0214 "From Pathways to Biomolecular Events: Opportunities and Challenges"
W11-0215 "Towards Exhaustive Event Extraction for Protein Modifications"
W11-0216 "A Study on Dependency Tree Kernels for Automatic Extraction of Protein-Protein Interaction"
W11-0217 "Hypothesis and Evidence Extraction from Full-Text Scientific Journal Articles"
W11-0218 "SimSem: Fast Approximate String Matching in Relation to Semantic Category Disambiguation"
W11-0219 "Building Timelines from Narrative Clinical Records: Initial Results Based-on Deep Natural Language Understanding"
W11-0220 "Text Mining Techniques for Leveraging Positively Labeled Data"
W11-0221 "Parsing Natural Language Queries for Life Science Knowledge"
W11-0222 "Unlocking Medical Ontologies for Non-Ontology Experts"
W11-0223 "Self-training and co-training in biomedical word sense disambiguation"
W11-0224 "Medstract - The Next Generation"
W11-0401 "On the Development of the RST Spanish Treebank"
W11-0402 "OWL/DL formalization of the MULTEXT-East morphosyntactic specifications"
W11-0403 "Analysis of the Hindi Proposition Bank using Dependency Structure"
W11-0404 "How Good is the Crowd at \"real\" WSD?"
W11-0405 "Consistency Maintenance in Prosodic Labeling for Reliable Prediction of Prosodic Breaks"
W11-0406 "An Annotation Scheme for Automated Bias Detection in Wikipedia"
W11-0407 "A Collaborative Annotation between Human Annotators and a Statistical Parser"
W11-0408 "Reducing the Need for Double Annotation"
W11-0409 "Crowdsourcing Word Sense Definition"
W11-0410 "A scaleable automated quality assurance technique for semantic representations and proposition banks"
W11-0411 "Proposal for an Extension of Traditional Named Entities: From Guidelines to Evaluation, an Overview"
W11-0412 "Assessing the practical usability of an automatically annotated corpus"
W11-0413 "Subjectivity and Sentiment Annotation of Modern Standard Arabic Newswire"
W11-0414 "Creating an Annotated Tamil Corpus as a Discourse Resource"
W11-0415 "A Gold Standard Corpus of Early Modern German"
W11-0416 "MAE and MAI: Lightweight Annotation and Adjudication Tools"
W11-0417 "Empty Categories in Hindi Dependency Treebank: Analysis and Recovery"
W11-0418 "Annotating Events, Temporal Expressions and Relations in Italian: the It-Timeml Experience for the Ita-TimeBank"
W11-0419 "Increasing Informativeness in Temporal Annotation"
W11-0601 "Testing the Robustness of Online Word Segmentation: Effects of Linguistic Diversity and Phonetic Variation"
W11-0602 "A {Bayesian} Belief Updating Model of Phonetic Recalibration and Selective Adaptation"
W11-0603 "Unsupervised Syntactic Chunking with Acoustic Cues: Computational Models for Prosodic Bootstrapping"
W11-0604 "A Statistical Test for Grammar"
W11-0605 "Top-Down Recognizers for {MCFGs} and {MGs}"
W11-0606 "Exploring the Relationship Between Learnability and Linguistic Universals"
W11-0607 "Composing and Updating Verb Argument Expectations: A Distributional Semantic Model"
W11-0608 "{WM} Load Influences the Interpretation of Referring Expressions"
W11-0609 "Chameleons in Imagined Conversations: A New Approach to Understanding Coordination of Linguistic Style in Dialogs"
W11-0610 "Classification of Atypical Language in Autism"
W11-0611 "Colourful Language: Measuring Word-Colour Associations"
W11-1701 "Cats Rule and Dogs Drool!: Classifying Stance in Online Debate"
W11-1702 "A verb lexicon model for deep sentiment analysis and opinion mining applications"
W11-1703 "Experiments with a Differential Semantics Annotation for WordNet 3.0"
W11-1704 "Creating Sentiment Dictionaries via Triangulation"
W11-1705 "Generating Semantic Orientation Lexicon using Large Data and Thesaurus"
W11-1706 "Developing Robust Models for Favourability Analysis"
W11-1707 "Detecting Implicit Expressions of Sentiment in Text Based on Commonsense Knowledge"
W11-1708 "A Link to the Past: Constructing Historical Social Networks"
W11-1709 "Tracking Sentiment in Mail: How Genders Differ on Emotional Axes"
W11-1710 "Developing Japanese WordNet Affect for Analyzing Emotions"
W11-1711 "Improving a Method for Quantifying Readers' Impressions of News Articles with a Regression Equation"
W11-1712 "Feature Selection for Sentiment Analysis Based on Content and Syntax Models"
W11-1713 "Automatic Emotion Classification for Interpersonal Communication"
W11-1714 "Automatic Sentiment Classification of Product Reviews Using Maximal Phrases Based Analysis"
W11-1715 "Mining Subjective Knowledge from Customer Reviews: A Specific Case of Irony Detection"
W11-1716 "Automatic Expansion of Feature-Level Opinion Lexicons"
W11-1717 "Robust Sense-based Sentiment Classification"
W11-1718 "Sentiment Classification Using Semantic Features Extracted from WordNet-based Resources"
W11-1719 "On the Difficulty of Clustering Microblog Texts for Online Reputation Management"
W11-1720 "EMOCause: An Easy-adaptable Approach to Extract Emotion Cause Contexts"
W11-1721 "A Cross-corpus Study of Unsupervised Subjectivity Identification based on Calibrated EM"
W11-1722 "Towards a Unified Approach for Opinion Question Answering and Summarization"
W11-1723 "Corporate News Classification and Valence Prediction: A Supervised Approach"
W11-1724 "Instance Level Transfer Learning for Cross Lingual Opinion Analysis"
W11-1801 "Overview of BioNLP Shared Task 2011"
W11-1802 "Overview of Genia Event Task in BioNLP Shared Task 2011"
W11-1803 "Overview of the Epigenetics and Post-translational Modifications (EPI) task of BioNLP Shared Task 2011"
W11-1804 "Overview of the Infectious Diseases (ID) task of BioNLP Shared Task 2011"
W11-1805 "Biomedical Event Extraction from Abstracts and Full Papers using Search-based Structured Prediction"
W11-1806 "Event Extraction as Dependency Parsing for BioNLP 2011"
W11-1807 "Robust Biomedical Event Extraction with Dual Decomposition and Minimal Domain Adaptation"
W11-1808 "Model Combination for Event Extraction in BioNLP 2011"
W11-1809 "BioNLP Shared Task 2011 - Bacteria Biotope"
W11-1810 "BioNLP Shared Task 2011 \u2013 Bacteria Gene Interactions and Renaming"
W11-1811 "Overview of BioNLP 2011 Protein Coreference Shared Task"
W11-1812 "Overview of the Entity Relations (REL) supporting task of BioNLP Shared Task 2011"
W11-1813 "The Taming of Reconcile as a Biomedical Coreference Resolver"
W11-1814 "Extracting Bacteria Biotopes with Semi-supervised Named Entity Recognition and Coreference Resolution"
W11-1815 "BioNLP 2011 Task Bacteria Biotope \u2013 The Alvis system"
W11-1816 "BioNLP Shared Task 2011: Supporting Resources"
W11-1817 "Sentence Filtering for BioNLP: Searching for Renaming Acts"
W11-1818 "Complex Biological Event Extraction from Full Text using Signatures of Linguistic and Semantic Features"
W11-1819 "Using Kybots for Extracting Events in Biomedical Texts"
W11-1820 "Extracting Biological Events from Text Using Simple Syntactic Patterns"
W11-1821 "Detecting Entity Relations as a Supporting Task for Bio-Molecular Event Extraction"
W11-1822 "A Pattern Approach for Biomedical Event Annotation"
W11-1823 "An Incremental Model for the Coreference Resolution Task of BioNLP 2011"
W11-1824 "Double Layered Learning for Biological Event Extraction from Text"
W11-1825 "MSR-NLP Entry in BioNLP Shared Task 2011"
W11-1826 "From Graphs to Events: A Subgraph Matching Approach for Information Extraction from Biomedical Text"
W11-1827 "Adapting a General Semantic Interpretation Approach to Biological Event Extraction"
W11-2101 "A Grain of Salt for the WMT Manual Evaluation"
W11-2102 "A Lightweight Evaluation Framework for Machine Translation Reordering"
W11-2103 "Findings of the 2011 Workshop on Statistical Machine Translation"
W11-2104 "Evaluate with Confidence Estimation: Machine ranking of translation outputs using grammatical features"
W11-2105 "AMBER: A Modified BLEU, Enhanced Ranking Metric"
W11-2106 "TESLA at WMT 2011: Translation Evaluation and Tunable Metric"
W11-2107 "Meteor 1.3: Automatic Metric for Reliable Optimization and Evaluation of Machine Translation Systems"
W11-2108 "Approximating a Deep-Syntactic Metric for MT Evaluation and Tuning"
W11-2109 "Evaluation without references: IBM1 scores as evaluation metrics"
W11-2110 "Morphemes and POS tags for n-gram based evaluation metrics"
W11-2111 "E-rating Machine Translation"
W11-2112 "TINE: A Metric to Assess MT Adequacy"
W11-2113 "Regression and Ranking based Optimisation for Sentence Level MT Evaluation"
W11-2114 "MAISE: A Flexible, Configurable, Extensible Open Source Package for Mass AI System Evaluation"
W11-2115 "MANY improvements for WMT'11"
W11-2116 "The UPV-PRHLT combination system for WMT 2011"
W11-2117 "CMU System Combination in WMT 2011"
W11-2118 "The RWTH System Combination System for WMT 2011"
W11-2119 "Expected BLEU Training for Graphs: BBN System Description for WMT11 System Combination Task"
W11-2120 "The UZH System Combination System for WMT 2011"
W11-2121 "Description of the JHU System Combination Scheme for WMT 2011"
W11-2122 "Multiple-stream Language Models for Statistical Machine Translation"
W11-2123 "KenLM: Faster and Smaller Language Model Queries"
W11-2124 "Wider Context by Using Bilingual Language Models in Machine Translation"
W11-2125 "A Minimally Supervised Approach for Detecting and Ranking Document Translation Pairs"
W11-2126 "Agreement Constraints for Statistical Machine Translation into German"
W11-2127 "Fuzzy Syntactic Reordering for Phrase-based Statistical Machine Translation"
W11-2128 "Filtering Antonymous, Trend-Contrasting, and Polarity-Dissimilar Distributional Paraphrases for Improving Statistical Machine Translation"
W11-2129 "Productive Generation of Compound Words in Statistical Machine Translation"
W11-2130 "SampleRank Training for Phrase-Based Machine Translation"
W11-2131 "Instance Selection for Machine Translation using Feature Decay Algorithms"
W11-2132 "Investigations on Translation Model Adaptation Using Monolingual Data"
W11-2133 "Topic Adaptation for Lecture Translation through Bilingual Latent Semantic Models"
W11-2134 "Personal Translator at WMT2011"
W11-2135 "LIMSI @ WMT11"
W11-2136 "Shallow Semantic Trees for SMT"
W11-2137 "RegMT System for Machine Translation, System Combination, and Evaluation"
W11-2138 "Improving Translation Model by Monolingual Data"
W11-2139 "The CMU-ARK German-English Translation System"
W11-2140 "Noisy SMS Machine Translation in Low-Density Languages"
W11-2141 "Stochastic Parse Tree Selection for an Existing RBMT System"
W11-2142 "Joint WMT Submission of the QUAERO Project"
W11-2143 "CMU Syntax-Based Machine Translation at WMT 2011"
W11-2144 "The Uppsala-FBK systems at WMT 2011"
W11-2145 "The Karlsruhe Institute of Technology Translation Systems for the WMT 2011"
W11-2146 "CMU Haitian Creole-English Translation System for WMT 2011"
W11-2147 "Experiments with word alignment, normalization and clause reordering for SMT between English and German"
W11-2148 "The Value of Monolingual Crowdsourcing in a Real-World Translation Scenario: Simulation using Haitian Creole Emergency SMS Messages"
W11-2149 "The RWTH Aachen Machine Translation System for WMT 2011"
W11-2150 "ILLC-UvA translation system for EMNLP-WMT 2011"
W11-2151 "UPM system for the translation task"
W11-2152 "Two-step translation with grammatical post-processing"
W11-2153 "Influence of Parser Choice on Dependency-Based MT"
W11-2154 "The LIGA (LIG/LIA) Machine Translation System for WMT 2011"
W11-2155 "Factored Translation with Unsupervised Word Clusters"
W11-2156 "The BM-I2R Haitian-Cr\u00e9ole-to-English translation system description for the WMT 2011 evaluation campaign"
W11-2157 "The Universitat d'Alacant hybrid machine translation system for WMT 2011"
W11-2158 "LIUM\u2019s SMT Machine Translation Systems for WMT 2011"
W11-2159 "Spell Checking Techniques for Replacement of Unknown Words and Data Cleaning for Haitian Creole SMS Translation"
W11-2160 "Joshua 3.0: Syntax-based Machine Translation with the Thrax Grammar Extractor"
W11-2161 "DFKI Hybrid Machine Translation System for WMT 2011 - On the Integration of SMT and RBMT"
W11-2162 "CEU-UPV English-Spanish system for WMT11"
W11-2163 "Hierarchical Phrase-Based MT at the Charles University for the WMT 2011 Shared Task"
W11-2164 "Crisis MT: Developing A Cookbook for MT in Crisis Situations"
W11-2165 "Generative Models of Monolingual and Bilingual Gappy Patterns"
W11-2166 "Extraction Programs: A Unified Approach to Translation Rule Extraction"
W11-2167 "Bayesian Extraction of Minimal SCFG Rules for Hierarchical Phrase-based Translation"
W11-2301 "An on-line system for remote treatment of aphasia"
W11-2302 "Acoustic transformations to improve the intelligibility of dysarthric speech"
W11-2303 "Towards technology-assisted co-construction with communication partners"
W11-2304 "Trap Hunting: Finding Personal Data Management Issues in Next Generation AAC Devices"
W11-2305 "Asynchronous fixed-grid scanning with dynamic codes"
W11-2306 "Improving the Accessibility of Line Graphs in Multimodal Documents"
W11-2307 "Indian Language Screen Readers and Syllable Based Festival Text-to-Speech Synthesis System"
W11-2308 "READ\u2013IT: Assessing Readability of Italian Texts with a View to Text Simplification"
W11-2309 "Source Language Categorization for improving a Speech into Sign Language Translation System"
W11-2310 "What does it mean to communicate (not) emotionally?"
W11-2311 "Arabic Text to Arabic Sign Language Translation System for the Deaf and Hearing-Impaired Community"
W11-2312 "Lekbot: A talking and playing robot for children with disabilities"
W11-2313 "Using lexical and corpus resources for augmenting the AAC-lexicon"
W11-2314 "Experimental Identification of the Use of Hedges in the Simplification of Numerical Expressions"
W11-2315 "Towards an on-demand Simple Portuguese Wikipedia"
W11-2801 "Talkin' bout a revolution (statistically speaking) [Invited Talk]"
W11-2802 "Text Simplification using Typed Dependencies: A Comparision of the Robustness of Different Generation Strategies"
W11-2803 "Generating Affective Natural Language for Parents of Neonatal Infants"
W11-2804 "What is in a text and what does it do: Qualitative Evaluations of an NLG system \u2013 the BT-Nurse \u2013 using content analysis and discourse analysis"
W11-2805 "Evaluating Salience Metrics for the Context-Adequate Realization of Discourse Referents"
W11-2806 "The Impact of Visual Context on the Content of Referring Expressions"
W11-2807 "A Cross-Linguistic Study on the Production of Multimodal Referring Expressions in Dialogue"
W11-2808 "Two Approaches for Generating Size Modifiers"
W11-2809 "Using Online Games to Capture, Generate, and Understand Natural Language [Invited Talk]"
W11-2810 "Content selection from an ontology-based knowledge base for the generation of football summaries"
W11-2811 "Deriving rhetorical relationships from semantic content"
W11-2812 "If it may have happened before, it happened, but not necessarily before"
W11-2813 "Adaptive Information Presentation for Spoken Dialogue Systems: Evaluation with real users"
W11-2814 "Combining Hierarchical Reinforcement Learning and Bayesian Networks for Natural Language Generation in Situated Dialogue"
W11-2815 "Combining symbolic and corpus-based approaches for the generation of successful referring expressions"
W11-2816 "Language Generation for Spoken Dialogue Systems [Invited Talk]"
W11-2817 "Adapting SimpleNLG to German"
W11-2818 "EasyText: an Operational NLG System"
W11-2819 "Towards Generating Text from Discourse Representation Structures"
W11-2820 "A Policy-Based Approach to Context Dependent Natural Language Generation"
W11-2821 "Levels of organisation in ontology verbalisation"
W11-2822 "Using semantic roles to improve summaries"
W11-2823 "Building a Generator for Italian Sign Language"
W11-2824 "Investigation into Human Preference between Common and Unambiguous Lexical Substitutions"
W11-2825 "Production of Demonstratives in Dutch, English and Portuguese Dialogues"
W11-2826 "Generation of Formal and Informal Sentences"
W11-2827 "Glue Rules for Robust Chart Realization"
W11-2828 "Detecting Interesting Event Sequences for Sports Reporting"
W11-2829 "Generation Challenges 2011 Preface"
W11-2830 "The GRUVE Challenge: Generating Routes under Uncertainty in Virtual Environments"
W11-2831 "A Proposal for a Spanish Surface Realization Shared Task"
W11-2832 "The First Surface Realisation Shared Task: Overview and Evaluation Results"
W11-2833 "DCU at Generation Challenges 2011 Surface Realisation Track"
W11-2834 "ATT-0: Submission to Generation Challenges 2011 Surface Realization Shared Task"
W11-2835 " StuMaBa : From Deep Representation to Surface"
W11-2836 "The OSU System for Surface Realization at Generation Challenges 2011"
W11-2837 "UCM Submission to the Surface Realization Challenge"
W11-2838 "Helping Our Own: The HOO 2011 Pilot Shared Task"
W11-2839 "May I check the English of your paper!!!"
W11-2840 "Handling Outlandish Occurrences: Using Rules and Lexicons for Correcting NLP Articles"
W11-2841 "NUS at the HOO 2011 Pilot Shared Task"
W11-2842 "Helping Our Own 2011: UKP Lab System Description"
W11-2843 "University of Illinois System in HOO Text Correction Shared Task"
W11-2844 "Data-Driven Correction of FunctionWords in Non-Native English"
W11-2845 "Report on the Second Second Challenge on Generating Instructions in Virtual Environments (GIVE-2.5)"
W11-2846 "Direction giving: an attempt to increase user engagement"
W11-2847 "The Bremen System for the GIVE-2.5 Challenge"
W11-2848 "The GIVE-2.5 C Generation System"
W11-2849 "CL system: Giving instructions by corpus based selection"
W11-2850 "The Loria Instruction Generation System L in GIVE 2.5"
W11-2851 "The Potsdam NLG systems at the GIVE-2.5 Challenge"
W11-2852 "The Thumbs Up! Twente system for GIVE 2.5"
W11-2901 "Computing Scope in a CCG Parser"
W11-2902 "A Generalized View on Parsing and Translation"
W11-2903 "Tree Parsing with Synchronous Tree-Adjoining Grammars"
W11-2904 "Finding the Most Probable String and the Consensus String: an Algorithmic Study"
W11-2905 "A Word Clustering Approach to Domain Adaptation: Effective Parsing of Biomedical Texts"
W11-2906 "Sentence-Level Instance-Weighting for Graph-Based and Transition-Based Dependency Parsing"
W11-2907 "Analysis of the Difficulties in Chinese Deep Parsing"
W11-2908 "On the Role of Explicit Morphological Feature Representation in Syntactic Dependency Parsing for German"
W11-2909 "Bayesian Network Automata for Modelling Unbounded Structures"
W11-2910 "Model-Theory of Property Grammars with Features"
W11-2911 "Learning Structural Dependencies of Words in the Zipfian Tail"
W11-2912 "One-Step Statistical Parsing of Hybrid Dependency-Constituency Syntactic Representations"
W11-2913 "PLCFRS Parsing of English Discontinuous Constituents"
W11-2914 "Towards a Neurobiologically Plausible Model of Human Sentence Comprehension Across Languages"
W11-2915 "Minimally Supervised Domain-Adaptive Parse Reranking for Relation Extraction"
W11-2916 "Simple Semi-Supervised Learning for Prepositional Phrase Attachment"
W11-2917 "Active Learning for Dependency Parsing Using Partially Annotated Sentences"
W11-2918 "Lagrangian Relaxation for Inference in Natural Language Processing"
W11-2919 "Prefix Probabilities for Linear Context-Free Rewriting Systems"
W11-2920 "Efficient Matrix-Encoded Grammars and Low Latency Parallelization Strategies for CYK"
W11-2921 "Efficient Parallel CKY Parsing on GPUs"
W11-2922 "CuteForce \u2013 Deep Deterministic HPSG Parsing"
W11-2923 "Large-Scale Corpus-Driven PCFG Approximation of an HPSG"
W11-2924 "Features for Phrase-Structure Reranking from Dependency Parses"
W11-2925 "Comparing the Use of Edited and Unedited Text in Parser Self-Training"
W11-2926 "Beyond Chart Parsing: An Analytic Comparison of Dependency Chart Parsing Algorithms"
W11-2927 "Parser Evaluation Using Elementary Dependency Matching"
W11-2928 "Parsing of Partially Bracketed Structures for Parse Selection"
W11-3701 "Invited Keynote: What are Subjectivity, Sentiment, and Affect?"
W11-3702 "On Using Twitter to Monitor Political Sentiment and Predict Election Results"
W11-3703 "Emotion Modeling from Writer/Reader Perspectives Using a Microblog Dataset"
W11-3704 "Towards automatic detection of antisocial behavior from texts"
W11-3705 "Introducing Argumention in Opinion Analysis: Language and Reasoning Challenges"
W11-3706 "Taking Refuge in Your Personal Sentic Corner"
W11-3707 "Sense-level Subjectivity in a Multilingual Setting"
W11-3708 "Applying Sentiment-oriented Sentence Filtering to Multilingual Review Classification"
W11-3709 "Analyzing Emotional Statements \u2013 Roles of General and Physiological Variables"
W11-3710 "Enriching Social Communication through Semantics and Sentics"
W11-3711 "User Profile Construction in the TWIN Personality-based Recommender System"
W11-3712 "What is new? News media, General Elections, Sentiment, and Named Entities"
W11-3713 "Chinese Sentiment Analysis Using Maximum Entropy"
W11-3714 "Incorporating Lexicon Knowledge into SVM Learning to Improve Sentiment Classification"
W11-3801 "Statistical Dependency Parsing in Korean: From Corpus Generation To Automatic Parsing"
W11-3802 "Morphological Features for Parsing Morphologically-rich Languages: A Case of Arabic"
W11-3803 "French parsing enhanced with a word clustering method based on a syntactic lexicon"
W11-3804 "Testing the Effect of Morphological Disambiguation in Dependency Parsing of Basque"
W11-3805 "Discontinuous Data-Oriented Parsing: A mildly context-sensitive all-fragments grammar"
W11-3806 "Multiword Expressions in Statistical Dependency Parsing"
W11-3807 "Linguistically Rich Graph Based Data Driven Parsing For Hindi"
W11-4201 "Assignment of Ontology-based Broad Semantic Classes to Biomedical Text"
W11-4202 "Exploiting Structured Data, Negation Detection and SNOMED CT Terms in a Random Indexing Approach to Clinical Coding"
W11-4203 "Automatic Matching of ICD-10 codes to Diagnoses in Discharge Letters"
W11-4204 "Evaluation Measures for Detection of Personal Health Information"
W11-4205 "Building a Named Entity Recognizer in Three Days: Application to Disease Name Recognition in Bulgarian Epicrises"
W11-4206 "Reducing Complexity in Parsing Scientific Medical Data, a Diabetes Case Study"
W11-4207 "Architecture and Systems for Monitoring Hospital Acquired Infections inside Hospital Information Workflows"
W11-4301 "Reusing Parallel Corpora between Related Languages"
W11-4302 "Discontinuous Constituents: a Problematic Case for Parallel Corpora Annotation and Querying"
W11-4303 "A tagged and aligned corpus for the study of Proper Names in translation"
W11-4304 "Building the multilingual TUT parallel treebank"
W11-4305 "Bulgarian-English Parallel Treebank: Word and Semantic Level Alignment"
W11-4306 "Parallel Corpora in Aspectual Studies of Non-Aspect Languages"
W11-4307 "Coreference Annotator - A new annotation tool for aligned bilingual corpora"
W12-0301 "From Character to Word Level: Enabling the Linguistic Analyses of Inputlog Process Data"
W12-0302 "From Drafting Guideline to Error Detection: Automating Style Checking for Legislative Texts"
W12-0303 "Aggregated Assessment and \u201cObjectivity 2.0\u201d"
W12-0304 "Google Books N-gram Corpus used as a Grammar Checker"
W12-0305 "LELIE: A Tool Dedicated to Procedure and Requirement Authoring"
W12-1501 "Natural Language Generation and Assistive Technologies"
W12-1502 "Expressive NLG for Next-Generation Learning Environments: Language, Affect, and Narrative"
W12-1503 "Learning Preferences for Referring Expression Generation: Effects of Domain, Language and Algorithm"
W12-1504 "Referring in Installments: A Corpus Study of Spoken Object References in an Interactive Virtual Environment"
W12-1505 "MinkApp: Generating Spatio-temporal Summaries for Nature Conservation Volunteers"
W12-1506 "Towards a Surface Realization-Oriented Corpus Annotation"
W12-1507 "Generation for Grammar Engineering"
W12-1508 "Perceptions of Alignment and Personality in Generated Dialogue"
W12-1509 "Optimising Incremental Generation for Spoken Dialogue Systems: Reducing the Need for Fillers"
W12-1510 "Linguist's Assistant: A Multi-Lingual Natural Language Generator based on Linguistic Universals, Typologies, and Primitives"
W12-1511 "\"Hidden semantics\": what can we learn from the names in an ontology?"
W12-1512 "On generating coherent multilingual descriptions of museum objects from Semantic Web ontologies"
W12-1513 "Extractive email thread summarization: Can we do better than He Said She Said?"
W12-1514 "Rich Morphology Generation Using Statistical Machine Translation"
W12-1515 "Reformulating student contributions in tutorial dialogue"
W12-1516 "Working with Clinicians to Improve a Patient-Information NLG System"
W12-1517 "Sign Language Generation with Expert Systems and CCG"
W12-1518 "Planning Accessible Explanations for Entailments in OWL Ontologies"
W12-1519 "Interactive Natural Language Query Construction for Report Generation"
W12-1520 "Blogging birds: Generating narratives about reintroduced species to promote public engagement"
W12-1521 "Natural Language Generation for a Smart Biology Textbook"
W12-1522 "Generating Natural Language Summaries for Multimedia"
W12-1523 "Midge: Generating Descriptions of Images"
W12-1524 "Preface to Papers for GenChal"
W12-1525 "The Surface Realisation Task: Recent Developments and Future Plans"
W12-1526 "KBGen \u2013 Text Generation from Knowledge Bases as a New Shared Task"
W12-1527 "Content Selection From Semantic Web Data"
W12-1601 "Multi-modal Sensing and Analysis of Poster Conversations: Toward Smart Posterboard"
W12-1602 "An End-to-End Evaluation of Two Situated Dialog Systems"
W12-1603 "\"Love ya, jerkface\": Using Sparse Log-Linear Models to Build Positive and Impolite Relationships with Teens"
W12-1604 "Enhancing Referential Success by Tracking Hearer Gaze"
W12-1605 "Unsupervised Topic Modeling Approaches to Decision Summarization in Spoken Meetings"
W12-1606 "An Unsupervised Approach to User Simulation: Toward Self-Improving Dialog Systems"
W12-1607 "Hierarchical Conversation Structure Prediction in Multi-Party Chat"
W12-1608 "Rapid Development Process of Spoken Dialogue Systems using Collaboratively Constructed Semantic Resources"
W12-1609 "The Effect of Cognitive Load on a Statistical Dialogue System"
W12-1610 "Predicting Adherence to Treatment for Schizophrenia from Dialogue Transcripts"
W12-1611 "Reinforcement Learning of Question-Answering Dialogue Policies for Virtual Museum Guides"
W12-1612 "From Strangers to Partners: Examining Convergence within a Longitudinal Study of Task-Oriented Dialogue"
W12-1613 "The Structure and Generality of Spoken Route Instructions"
W12-1614 "Improving Implicit Discourse Relation Recognition Through Feature Set Optimization"
W12-1615 "A Temporal Simulator for Developing Turn-Taking Methods for Spoken Dialogue Systems"
W12-1616 "Dialogue Act Recognition using Reweighted Speaker Adaptation"
W12-1617 "Estimating Adaptation of Dialogue Partners with Different Verbal Intelligence"
W12-1618 "A Demonstration of Incremental Speech Understanding and Confidence Estimation in a Virtual Human Dialogue System"
W12-1619 "Integrating Location, Visibility, and Question-Answering in a Spoken Dialogue System for Pedestrian City Exploration"
W12-1620 "A Mixed-Initiative Conversational Dialogue System for Healthcare"
W12-1621 "Towards Mediating Shared Perceptual Basis in Situated Dialogue"
W12-1622 "Global Features for Shallow Discourse Parsing"
W12-1623 "A Reranking Model for Discourse Segmentation using Subtree Features"
W12-1624 "Landmark-Based Location Belief Tracking in a Spoken Dialog System"
W12-1625 "Probabilistic Dialogue Models with Prior Domain Knowledge"
W12-1626 "Exploiting Machine-Transcribed Dialog Corpus to Improve Multiple Dialog States Tracking Methods"
W12-1627 "Cohesion, Entrainment and Task Success in Educational Dialog"
W12-1628 "A Bottom-Up Exploration of the Dimensions of Dialog State in Spoken Interaction"
W12-1629 "Using Group History to Identify Character-Directed Utterances in Multi-Child Interactions"
W12-1630 "Adapting to Multiple Affective States in Spoken Dialogue"
W12-1631 "Dialog System Using Real-Time Crowdsourcing and Twitter Large-Scale Corpus"
W12-1632 "Automatically Acquiring Fine-Grained Information Status Distinctions in German"
W12-1633 "A Unified Probabilistic Approach to Referring Expressions"
W12-1635 "Semantic Specificity in Spoken Dialogue Requests"
W12-1637 "A Study in How NLU Performance Can Affect the Choice of Dialogue System Architecture"
W12-1638 "Integrating Incremental Speech Recognition and POMDP-Based Dialogue Systems"
